Titolo;Categoria;Durata;Finale;Complessita;Realismo;Contenuti;Tono;
Fight Club;Drammatico;139;Teso;Cerebrale;Stilizzato;Esplicito;Bilanciato;
Forrest Gump;Drammatico;142;Lieto;Intricato;Stilizzato;Moderato;Leggero;
The Truman Show;Commedia;103;Lieto;Cerebrale;Surreale;PerTutti;Bilanciato;
Grand Budapest Hotel;Commedia;99;Malinconico;Intricato;Stilizzato;Moderato;Bilanciato;
Mad Max: Fury Road;Azione;120;Teso;Lineare;Stilizzato;Esplicito;Dark;
Die Hard;Azione;132;Lieto;Lineare;Realistico;Moderato;Bilanciato;
Il Gladiatore;Drammatico;155;Triste;Lineare;Realistico;Esplicito;Serio;
Whiplash;Drammatico;107;Teso;Lineare;Realistico;Esplicito;Inquietante;
The Wolf of Wall Street;Commedia;180;Lieto;Lineare;Realistico;Esplicito;Comico;
Her;Romance;126;Malinconico;Cerebrale;Stilizzato;Moderato;Leggero;
Eternal Sunshine of the Spotless Mind;Romance;108;Malinconico;Cerebrale;Surreale;Moderato;Bilanciato;
Inception;Scifi;148;Lieto;Intricato;Stilizzato;Moderato;Serio;
Arrival;Scifi;116;Malinconico;Cerebrale;Realistico;Moderato;Serio;
Alien;Horror;117;Teso;Lineare;Surreale;Esplicito;Inquietante;
A Quiet Place;Horror;90;Teso;Lineare;Realistico;Moderato;Inquietante;
Toy Story;Animazione;81;Lieto;Semplice;Fantasy;PerTutti;Leggero;
Wall-E;Animazione;98;Lieto;Semplice;Surreale;PerTutti;Bilanciato;
Coco;Animazione;105;Lieto;Intricato;Fantasy;PerTutti;Bilanciato;
Il Cavaliere Oscuro;Thriller;152;Teso;Intricato;Stilizzato;Esplicito;Dark;
Gone Girl;Thriller;149;Teso;Intricato;Realistico;Esplicito;Inquietante;
The Prestige;Thriller;130;Teso;Intricato;Stilizzato;Moderato;Serio;
Life of Pi;Avventura;127;Lieto;Lineare;Fantasy;PerTutti;Bilanciato;
Cast Away;Avventura;143;Malinconico;Lineare;Realistico;Moderato;Serio;
Il Grande Lebowski;Commedia;117;Lieto;Lineare;Stilizzato;Moderato;Comico;
Terminator 2: Il Giorno del Giudizio;Azione;137;Lieto;Lineare;Stilizzato;Esplicito;Bilanciato;
Casino Royale;Azione;144;Teso;Lineare;Realistico;Esplicito;Serio;
Heat - La Sfida;Azione;170;Malinconico;Intricato;Realistico;Esplicito;Dark;
Braveheart;Drammatico;178;Triste;Lineare;Realistico;Esplicito;Serio;
American Beauty;Drammatico;122;Malinconico;Cerebrale;Realistico;Moderato;Bilanciato;
Manchester by the Sea;Drammatico;137;Triste;Lineare;Realistico;Moderato;Serio;
Birdman;Drammatico;119;Malinconico;Cerebrale;Stilizzato;Esplicito;Bilanciato;
The Social Network;Drammatico;120;Malinconico;Lineare;Realistico;Moderato;Serio;
Borat;Commedia;84;Lieto;Lineare;Realistico;Esplicito;Comico;
The Mask;Commedia;101;Lieto;Semplice;Stilizzato;PerTutti;Comico;
Mrs. Doubtfire;Commedia;125;Lieto;Lineare;Realistico;PerTutti;Leggero;
About Time;Romance;123;Lieto;Lineare;Realistico;PerTutti;Leggero;
Blue Valentine;Romance;112;Triste;Lineare;Realistico;Esplicito;Serio;
The Notebook;Romance;123;Triste;Lineare;Realistico;Moderato;Leggero;
Minority Report;Scifi;145;Lieto;Intricato;Stilizzato;Moderato;Serio;
District 9;Scifi;112;Malinconico;Lineare;Stilizzato;Esplicito;Dark;
Ex Machina;Scifi;108;Teso;Cerebrale;Stilizzato;Moderato;Inquietante;
Moon;Scifi;97;Malinconico;Cerebrale;Stilizzato;Moderato;Serio;
Hereditary;Horror;127;Triste;Cerebrale;Surreale;Esplicito;Inquietante;
The Conjuring;Horror;112;Teso;Lineare;Surreale;Esplicito;Inquietante;
It Follows;Horror;100;Teso;Cerebrale;Surreale;Moderato;Inquietante;
Rosemary's Baby;Horror;137;Triste;Cerebrale;Realistico;Moderato;Inquietante;
Zootropolis;Animazione;108;Lieto;Lineare;Fantasy;PerTutti;Bilanciato;
Ratatouille;Animazione;111;Lieto;Lineare;Fantasy;PerTutti;Leggero;
Il Gigante di Ferro;Animazione;86;Malinconico;Lineare;Fantasy;PerTutti;Bilanciato;
Your Name;Animazione;112;Lieto;Intricato;Surreale;PerTutti;Bilanciato;
Akira;Animazione;124;Triste;Intricato;Stilizzato;Esplicito;Dark;
The Silence of the Lambs;Thriller;118;Teso;Intricato;Realistico;Esplicito;Inquietante;
Zodiac;Thriller;157;Malinconico;Intricato;Realistico;Esplicito;Serio;
Prisoners;Thriller;153;Teso;Intricato;Realistico;Esplicito;Dark;
The Game;Thriller;129;Teso;Intricato;Stilizzato;Moderato;Bilanciato;
Il Sesto Senso;Thriller;107;Malinconico;Cerebrale;Realistico;Moderato;Inquietante;
The Road;Avventura;111;Triste;Lineare;Realistico;Esplicito;Dark;
The Martian;Avventura;144;Lieto;Lineare;Realistico;PerTutti;Bilanciato;
Into the Woods;Fantasy;125;Malinconico;Intricato;Fantasy;Moderato;Bilanciato;
Willow;Fantasy;126;Lieto;Lineare;Fantasy;PerTutti;Leggero;
Dark Crystal;Fantasy;93;Malinconico;Lineare;Fantasy;PerTutti;Inquietante;
